Counter,Time (s),Distance (cm)
1,0.04661250114440918,50.8402
2,0.10906314849853516,62.376400000000004
3,0.15632867813110352,62.369600000000005
4,0.20290064811706543,62.43760000000001
5,0.2498188018798828,62.8014
6,0.2969951629638672,62.937400000000004
7,0.34342122077941895,62.3934
8,0.4061746597290039,62.366200000000006
9,0.45316386222839355,62.3934
10,0.5001730918884277,63.3352
11,0.5470376014709473,63.399800000000006
12,0.5939276218414307,63.23660000000001
13,0.6408312320709229,63.253600000000006
14,0.6875126361846924,63.33860000000001
15,0.734391450881958,62.964600000000004
16,0.7813570499420166,62.634800000000006
17,0.8282866477966309,62.77080000000001
18,0.8751444816589355,62.87960000000001
19,0.9220771789550781,63.23660000000001
20,0.9688394069671631,62.7334
21,1.0157413482666016,62.3798
22,1.0777642726898193,62.50900000000001
23,1.1250219345092773,62.366200000000006
24,1.1718900203704834,62.3594
25,1.2188704013824463,62.3934
26,1.2657740116119385,62.41380000000001
27,1.3277616500854492,62.3832
28,1.3751189708709717,63.2162
29,1.421889066696167,63.21280000000001
30,1.4688794612884521,62.7844
31,1.515777349472046,62.47160000000001
32,1.5627024173736572,62.342400000000005
33,1.6095519065856934,62.403600000000004
34,1.6562635898590088,62.3594
35,1.703094720840454,62.53960000000001
36,1.7497363090515137,63.0394
37,1.7965731620788574,62.3594
38,1.843869686126709,62.3832
39,1.8908002376556396,62.38660000000001
40,1.9376707077026367,62.36280000000001
41,1.9845468997955322,62.5464
42,2.031486988067627,62.461400000000005
43,2.078178644180298,62.4682
44,2.1251730918884277,62.38660000000001
45,2.172048568725586,62.464800000000004
46,2.2184505462646484,62.30160000000001
47,2.2657723426818848,62.39000000000001
48,2.312614917755127,62.3798
49,2.3591763973236084,62.39000000000001
50,2.406035900115967,62.36280000000001
51,2.4688313007354736,62.7062
52,2.515349864959717,63.09380000000001
53,2.577815532684326,62.662000000000006
54,2.6248116493225098,62.2302
55,2.6717872619628906,62.726600000000005
56,2.734109401702881,63.2094
57,2.781026840209961,63.1584
58,2.827838182449341,62.4682
59,2.874985933303833,62.3832
60,2.9216949939727783,62.2234
61,2.9688620567321777,62.226800000000004
62,3.0268638134002686,62.38660000000001
63,3.07367205619812,62.366200000000006
64,3.1207804679870605,62.3084
65,3.1675939559936523,61.9854
66,3.2143399715423584,62.2914
67,3.261354684829712,62.39000000000001
68,3.3084144592285156,62.39000000000001
69,3.354763984680176,62.407000000000004
70,3.4174611568450928,63.36580000000001
71,3.4644277095794678,62.4104
Counter,Time (s),Distance (cm)
1,1.4101500511169434,28.327666666666666
2,2.14544415473938,40.829750000000004
3,2.8817179203033447,40.885000000000005
4,2.928936004638672,40.96660000000001
5,2.9742300510406494,40.946200000000005
6,3.0217132568359375,40.9054
7,3.068743944168091,40.8068
8,3.116939067840576,40.834
9,3.16536021232605,40.851000000000006
10,3.2134909629821777,40.823800000000006
11,3.2581281661987305,40.8646
12,3.3038620948791504,40.8408
13,3.351996898651123,40.885000000000005
14,3.400254964828491,40.7218
15,3.4488229751586914,40.6878
16,3.4956421852111816,40.613
17,3.542196035385132,40.949600000000004
18,3.5877439975738525,41.1944
19,3.6348769664764404,41.272600000000004
20,3.679473876953125,41.2522
21,3.725497007369995,40.8408
22,3.7710940837860107,40.861200000000004
23,3.818284034729004,40.8442
24,3.8665640354156494,40.8204
25,3.9127180576324463,40.75580000000001
26,3.9586448669433594,40.919000000000004
27,4.004086971282959,40.861200000000004
28,4.051192998886108,40.6674
29,4.096038103103638,41.0108
30,4.142974853515625,41.2012
31,4.191082000732422,40.742200000000004
32,4.236616849899292,40.60960000000001
33,4.2843241691589355,40.827200000000005
34,4.331295013427734,40.55180000000001
35,4.3793511390686035,40.8408
36,4.425398111343384,40.613
37,4.4732160568237305,40.6062
38,4.521301031112671,40.6674
39,4.568935871124268,40.6334
40,4.616189956665039,40.3988
41,4.664618015289307,40.5892
42,4.711995840072632,40.63
43,4.760102987289429,40.762600000000006
44,4.808081150054932,40.800000000000004
45,4.854287147521973,40.698
46,4.897631883621216,27.71
47,4.935374021530151,14.365
48,4.982285976409912,40.66060000000001
49,5.027785062789917,40.8068
50,5.064902067184448,6.997200000000001
51,5.099950075149536,6.1846000000000005
52,5.1337621212005615,5.542000000000001
53,5.16749906539917,5.2292000000000005
54,5.207332134246826,19.1964
55,5.243760108947754,4.7940000000000005
56,5.279401063919067,5.637200000000001
57,5.314309120178223,7.2250000000000005
58,5.350052118301392,7.3066
59,5.384845972061157,8.598600000000001
60,5.4216530323028564,9.4996
61,5.458977937698364,9.656
62,5.495727062225342,7.082200000000001
63,5.531970977783203,8.860400000000002
64,5.568390846252441,5.151000000000001
65,5.604568004608154,5.232600000000001
66,5.644150018692017,11.988400000000002
67,5.681827068328857,11.7062
68,5.7159669399261475,3.3116000000000003
69,5.749704837799072,3.2844
70,5.783982038497925,3.9032
